"ALL_FEATURES","down_area","feat_area","total_down_area","pct_of_down","pct_of_feat"
"KBA: 1 (CR/EN)",82670.299565526,3237299.61598271,291060.214839926,0.28403160360131,0.02553680825753
"IBA: A3",70751.444210642,5048277.22972538,291060.214839926,0.243081811265594,0.0140149680754539
"KBA: 2a",64510.4204199966,1547364.53079793,291060.214839926,0.221639431055444,0.0416905125689616
"Mangroves",47653.7164470415,487244.183466297,291060.214839926,0.163724597239267,0.097802535287397
"Warm-water coral reefs",19502.1725998659,949919.71955011,291060.214839926,0.0670039105502325,0.0205303376680108
"Tropical dry forest",16370.1435035682,2380427.34903032,291060.214839926,0.0562431506228748,0.00687697673707063
"Turtle nesting site (all sp.)",15395.7062606907,238704.879226904,291060.214839926,0.0528952617902721,0.0644968226479198
"IBA: A2",12642.1619574447,3420136.19008396,291060.214839926,0.0434348678138561,0.0036963913875998
"Threatened sp: D2",11936.3650846014,995994.266575764,291060.214839926,0.0410099507799992,0.011984371281211
"PA (CR/EN sp.)",9867.54992115841,3760830.58827666,291060.214839926,0.0339020911071108,0.00262376878977685
"IBA: A4",9428.52966896613,8943109.16857405,291060.214839926,0.0323937425599426,0.00105427871797628
"AZE",8944.6942075433,1394503.98057015,291060.214839926,0.0307314217178827,0.00641424788467527
"PA (endemic/restricted range sp.)",8086.49484325008,3646605.6672822,291060.214839926,0.0277828931298542,0.00221754025004763
"IBA:A1 (CR/EN)",7990.95633677337,4705357.24779194,291060.214839926,0.0274546500323589,0.00169826772250359
"KBA: 2e",7904.96904260703,174121.55726265,291060.214839926,0.0271592221800376,0.0453991405020743
"Turtle nesting site (CR/EN)",7288.40045119175,109301.986458477,291060.214839926,0.0250408681076531,0.0666813173972879
"Cloud forest",7166.70548632084,1326286.63278538,291060.214839926,0.0246227588688557,0.00540358721045825
"Ever wet tropical forest",6039.25712381595,2825592.02082961,291060.214839926,0.0207491674090097,0.00213734222042529
"Irreplaceable PA",5208.64036069442,1733652.37180751,291060.214839926,0.0178954047826805,0.00300443182577824
"Ramsar site: 1/3",3901.13859556591,1084902.74012166,291060.214839926,0.0134032011132522,0.00359584177575994
"Seagrass beds",3593.85670782793,436501.591806753,291060.214839926,0.0123474680653432,0.0082333186757747
"Theatened sp: CR (D)",3038.32154987403,205095.198712705,291060.214839926,0.0104388074871209,0.014814201253585
"IBA: CR/EN<=10 sites",2529.76431484045,1437015.87614292,291060.214839926,0.00869154967205581,0.00176042892555269
"Tiger Cons. Landscape (potential)",2498.18748397044,75619.1429439461,291060.214839926,0.00858306067472797,0.0330364427142776
"Ramsar: 5/6",2409.33327213496,905403.831733913,291060.214839926,0.00827778290983539,0.00266105928392297
"Ramsar: 2",2177.9881799436,893632.520750931,291060.214839926,0.00748294706351889,0.00243723021417507
"KBA: 2b\2c\2d",2094.32602670867,441852.925351658,291060.214839926,0.00719550773320388,0.00473987136113641
"Ramsar site: 4/7/8/9",1504.15814324967,916288.774578737,291060.214839926,0.0051678589740508,0.00164157652585147
"Soft cold-water coral (Octocorals)",1411.02334200084,1225543.20726408,291060.214839926,0.00484787432310821,0.00115134524318472
"Tiger Cons. Landscape (actual)",1178.50280076431,100642.041158002,291060.214839926,0.00404899996865752,0.0117098459769326
"Saltmarshes",1031.58945021592,184418.446734097,291060.214839926,0.00354424753923602,0.00559374329675008
"Stony cold-water coral (Scleractinia)",430.616937506756,14098.9966227627,291060.214839926,0.00147947715129525,0.0305423817757024
"Seamounts",178.448977879374,34973.2646012707,291060.214839926,0.000613099863124596,0.00510243981835457
"Soft cold-water coral",38.9421354677272,5517.23194822438,291060.214839926,0.000133794086179536,0.00705827411882874
"Hydrothermal vents (Active)",32.1370592919539,616.164193559361,291060.214839926,0.000110413782624425,0.0521566485490005
"Hydrothermal vents (active)",32.1370592919539,616.164193559361,291060.214839926,0.000110413782624425,0.0521566485490005
"Threatened sp: EN (D)",24.5187281378098,138111.739273674,291060.214839926,8.42393665904984e-05,0.000177528197579389
"Cold seeps",7.0718759175911,375.547553296576,291060.214839926,2.42969514795432e-05,0.0188308400774118
"Stony cold-water coral (modelled)",0.799329999103308,79.8940170946187,291060.214839926,2.74627021608884e-06,0.0100048793160151
"Turtle nesting site *",0,70.8889600514851,291060.214839926,0,0
