"ALL_FEATURES","remove_area","feat_area","total_remove_area","pct_of_remove","pct_of_feat"
"Tropical dry forest",1028226.8079072,2380427.34903032,6263129.25922184,0.164171417409793,0.431950510199797
"PA (endemic/restricted range sp.)",938014.471031235,3646605.6672822,6263129.25922184,0.149767701129607,0.257229477661162
"KBA: 1 (CR/EN)",804366.237431839,3237299.61598271,6263129.25922184,0.128428809967077,0.248468270734239
"PA (CR/EN sp.)",793643.459434646,3760830.58827666,6263129.25922184,0.12671676195507,0.211028771651828
"Soft cold-water coral (Octocorals)",473972.99830553,1225543.20726408,6263129.25922184,0.0756767070722118,0.386745237129284
"Cloud forest",338537.933886327,1326286.63278538,6263129.25922184,0.0540525222895349,0.255252466184742
"Threatened sp: D2",223246.180934458,995994.266575764,6263129.25922184,0.0356445111851635,0.224144042216207
"IBA: A4",177739.179300066,8943109.16857405,6263129.25922184,0.028378654174886,0.0198744280037013
"Irreplaceable PA",163858.85309889,1733652.37180751,6263129.25922184,0.0261624575059862,0.0945165569312206
"KBA: 2a",131645.86282129,1547364.53079793,6263129.25922184,0.0210191834421195,0.0850774721800064
"Mangroves",93475.0127393874,487244.183466297,6263129.25922184,0.0149246501023038,0.191844286522618
"Warm-water coral reefs",68784.8770617519,949919.71955011,6263129.25922184,0.0109825095754607,0.0724112529154873
"Ramsar site: 1/3",65623.6828352326,1084902.74012166,6263129.25922184,0.0104777787778543,0.0604880791690814
"AZE",65262.0603416848,1394503.98057015,6263129.25922184,0.0104200404686831,0.0467994794213511
"IBA:A1 (CR/EN)",63045.4903320208,4705357.24779194,6263129.25922184,0.0100661327145999,0.0133986617831422
"Ramsar: 5/6",59008.0344772203,905403.831733913,6263129.25922184,0.0094214939585251,0.0651731662811893
"IBA: A3",57792.5282030667,5048277.22972538,6263129.25922184,0.00922742064088378,0.0114479703814148
"Turtle nesting site (all sp.)",57242.4320361732,238704.879226904,6263129.25922184,0.0091395897588876,0.239804197641728
"IBA: A2",38138.4934275665,3420136.19008396,6263129.25922184,0.00608936712768803,0.0111511622075583
"Ramsar site: 4/7/8/9",32396.0547097354,916288.774578737,6263129.25922184,0.00517250297238165,0.0353557258459588
"Threatened sp: EN (D)",30959.5042397953,138111.739273674,6263129.25922184,0.00494313672262321,0.224162727966577
"Turtle nesting site (CR/EN)",25801.3956528135,109301.986458477,6263129.25922184,0.00411956940132179,0.236056054320799
"Saltmarshes",19014.5371405381,184418.446734097,6263129.25922184,0.00303594838195955,0.103105396869295
"Seamounts",17865.4801411142,34973.2646012707,6263129.25922184,0.002852484660892,0.510832498618531
"Seagrass beds",17190.5504247666,436501.591806753,6263129.25922184,0.00274472228071219,0.0393825606766107
"Tiger Cons. Landscape (potential)",16861.119770761,75619.1429439461,6263129.25922184,0.0026921238685813,0.22297422470471
"Ever wet tropical forest",16242.5188920115,2825592.02082961,6263129.25922184,0.00259335520947393,0.00574835955519248
"Theatened sp: CR (D)",16010.4079287618,205095.198712705,6263129.25922184,0.00255629530640583,0.0780632995274987
"Ramsar: 2",14482.4188460773,893632.520750931,6263129.25922184,0.00231232954752664,0.0162062352362776
"IBA: CR/EN<=10 sites",13060.72416763,1437015.87614292,6263129.25922184,0.00208533524170835,0.00908878209660853
"KBA: 2b\2c\2d",7163.58511278512,441852.925351658,6263129.25922184,0.00114377091966248,0.0162126008492166
"Stony cold-water coral (Scleractinia)",4551.63320182708,14098.9966227627,6263129.25922184,0.000726734674224591,0.322833838720021
"KBA: 2e",3571.12442037506,174121.55726265,6263129.25922184,0.000570182136208819,0.0205093756138895
"Tiger Cons. Landscape (actual)",2928.47835817086,100642.041158002,6263129.25922184,0.00046757431261042,0.0290979626851299
"Soft cold-water coral",2220.53678964927,5517.23194822438,6263129.25922184,0.000354541108405155,0.402472981104937
"Hydrothermal vents (Active)",314.707852834632,616.164193559361,6263129.25922184,5.02477020366866e-05,0.510753231239675
"Hydrothermal vents (active)",314.707852834632,616.164193559361,6263129.25922184,5.02477020366866e-05,0.510753231239675
"Cold seeps",220.536359670825,375.547553296576,6263129.25922184,3.5211848669115e-05,0.58723950598252
"Stony cold-water coral (modelled)",11.4746463220912,79.8940170946187,6263129.25922184,1.83209476400251e-06,0.143623349274099
"Turtle nesting site *",0,70.8889600514851,6263129.25922184,0,0
