"Feature","feat_area","downgr_area","total_downgr_area","pct_of_downgr","pct_of_feat"
"P_VUCRD",6028648.29490028,82056.1777169338,258489.077951829,0.31744543470508,0.0136110407678528
"P_IBAA3",4232419.80453659,68971.9553542235,258489.077951829,0.266827348763559,0.0162961044838451
"P_IMMAC123",12811119.0134012,53526.3125519759,258489.077951829,0.207073788092319,0.00417811375384026
"P_IMMAB1",8446627.36033037,52962.3642747919,258489.077951829,0.204892077817933,0.00627023805069582
"P_EVERWET",5742733.23513684,40000.9305688735,258489.077951829,0.154749016421993,0.00696548645584447
"P_DRYFOR",840761.706525371,11371.2336745511,258489.077951829,0.0439911572459946,0.0135249186378209
"P_IMMAA",4808642.01610052,11205.8360982547,258489.077951829,0.0433512943256466,0.00233035357190967
"P_IMMAD2",5158676.80760297,10093.1498339197,258489.077951829,0.0390467168434893,0.00195653850984505
"P_IBAA2",4262292.71779669,8119.4612563506,258489.077951829,0.0314112353244716,0.00190495158214938
"P_IMMAD1",2788736.97919306,3565.46272303484,258489.077951829,0.0137934753425028,0.00127852240983534
"P_COLDREEF",801299.971371197,2426.50510419518,258489.077951829,0.00938726356804667,0.00302821064631128
"P_KBAA1B",6307407.98736046,1841.52617699652,258489.077951829,0.00712419337632402,0.000291962432220461
"P_IBAB1B",389351.308455729,328.354212310256,258489.077951829,0.00127028273268647,0.000843336609327439
"P_SEAMOUNT",23873.1371524953,290.434582901999,258489.077951829,0.00112358551163281,0.0121657485167022
"P_KBAD1B",232331.786219814,132.584331449183,258489.077951829,0.000512920439423326,0.000570668067449633
"P_TRTLALL",2687.42210130024,101.636985573482,258489.077951829,0.000393196441330578,0.0378195094564071
"L_AZE",2101793.66828038,0,258489.077951829,0,0
"L_CLOUDFR",1566889.50198639,0,258489.077951829,0,0
"L_COLDSEEP",219.755014114321,0,258489.077951829,0,0
"L_CRCRD",2727350.0131561,0,258489.077951829,0,0
"L_ENCRD",1470968.59382367,0,258489.077951829,0,0
"L_GRTAPES",3016200.50059966,0,258489.077951829,0,0
"L_HYDRO",484.491324937233,0,258489.077951829,0,0
"L_IBAA1",14069713.3707644,0,258489.077951829,0,0
"L_IBAA4",11999601.8007303,0,258489.077951829,0,0
"L_IFL",11908399.7247961,0,258489.077951829,0,0
"L_IMMAB2",5461414.38368096,0,258489.077951829,0,0
"L_IRREPL",2518337.50852517,0,258489.077951829,0,0
"L_IUCNMGMT",11473067.2088311,0,258489.077951829,0,0
"L_KBAA1AE",5667045.34710549,0,258489.077951829,0,0
"L_KBAB1",7104279.99404999,0,258489.077951829,0,0
"L_KBAD1A",8629568.84316923,0,258489.077951829,0,0
"L_KBAD2",5.1245222911182,0,258489.077951829,0,0
"L_MANGROVE",3369951.54041627,0,258489.077951829,0,0
"L_MOISTFOR",9036637.6177662,0,258489.077951829,0,0
"L_RAMS13",2428451.96575309,0,258489.077951829,0,0
"L_RAMS2",2404917.32674372,0,258489.077951829,0,0
"L_RAMS56",2316858.15266753,0,258489.077951829,0,0
"L_RAMSALL",5526173.39918115,0,258489.077951829,0,0
"L_SALTM",158174.900068984,0,258489.077951829,0,0
"L_SEAGRSS",413682.53256717,0,258489.077951829,0,0
"L_TIGERCL",262671.403564038,0,258489.077951829,0,0
"L_TRTLCREN",1847.67766009114,0,258489.077951829,0,0
"L_WARMREEF",447096.796562049,0,258489.077951829,0,0
"L_WHS",4228706.58907959,0,258489.077951829,0,0
"P_COLDSEEP",123.641283517631,0,258489.077951829,0,0
"P_HYDRO",527.546188101718,0,258489.077951829,0,0
"P_KBAB4",321.783164073389,0,258489.077951829,0,0
"P_KBAD3",1321.59673380918,0,258489.077951829,0,0
"P_KBAE",72.7749995957117,0,258489.077951829,0,0
"P_RAMS4789",2156000.13822848,0,258489.077951829,0,0
