"Feature","feat_area","add_area","total_add_area","pct_of_add","pct_of_feat"
"P_IMMAC123",12811119.0134012,11366524.9119676,38030993.3571893,0.298875309545889,0.887239038219656
"L_IFL",11908399.7247961,7900040.76792437,38030993.3571893,0.207726384996751,0.663400704586243
"P_IMMAB1",8446627.36033037,7261226.94294976,38030993.3571893,0.190929194900377,0.859659913144996
"L_IMMAB2",5461414.38368096,4678572.01855273,38030993.3571893,0.123019979378695,0.856659409059416
"P_IMMAD2",5158676.80760297,4435408.90259478,38030993.3571893,0.116626164900221,0.859795848434966
"L_MOISTFOR",9036637.6177662,4299838.43578341,38030993.3571893,0.113061428488051,0.475822824556984
"P_IMMAA",4808642.01610052,4284845.12251139,38030993.3571893,0.112667189159848,0.891071763746328
"P_VUCRD",6028648.29490028,4084697.51417175,38030993.3571893,0.107404439211146,0.677547820732394
"L_IUCNMGMT",11473067.2088311,2980493.77766987,38030993.3571893,0.0783701269561091,0.259781776173657
"L_IBAA4",11999601.8007303,2709274.51829326,38030993.3571893,0.0712385946074979,0.225780368655931
"L_IBAA1",14069713.3707644,2608284.49255499,38030993.3571893,0.0685831281885759,0.185382916042538
"P_IMMAD1",2788736.97919306,2249487.42521958,38030993.3571893,0.0591487948813815,0.806633053602092
"L_GRTAPES",3016200.50059966,2239242.52221661,38030993.3571893,0.0588794118835001,0.742405062850238
"P_EVERWET",5742733.23513684,2128299.1310631,38030993.3571893,0.0559622282561485,0.370607347393594
"L_CRCRD",2727350.0131561,1878036.64627474,38030993.3571893,0.0493817405355708,0.688593923484529
"L_KBAB1",7104279.99404999,1828004.62061815,38030993.3571893,0.0480661812708762,0.257310328724255
"L_KBAD1A",8629568.84316923,1704158.99714948,38030993.3571893,0.0448097419161241,0.197479043057686
"L_KBAA1AE",5667045.34710549,1428481.74402671,38030993.3571893,0.0375609895489799,0.252068168954449
"P_KBAA1B",6307407.98736046,1420283.30361383,38030993.3571893,0.0373454169412416,0.225177015100333
"L_RAMSALL",5526173.39918115,1248513.45135811,38030993.3571893,0.0328288414565456,0.225927302886136
"L_WHS",4228706.58907959,965469.539172103,38030993.3571893,0.0253863876261226,0.228313201409002
"L_ENCRD",1470968.59382367,902645.810487791,38030993.3571893,0.0237344789290695,0.613640436837222
"L_RAMS13",2428451.96575309,764541.867350054,38030993.3571893,0.0201031264203233,0.314826843656742
"L_RAMS2",2404917.32674372,759445.962714696,38030993.3571893,0.0199691329537973,0.315788802496173
"L_RAMS56",2316858.15266753,718702.23231916,38030993.3571893,0.0188978033144984,0.310205539122746
"P_RAMS4789",2156000.13822848,712483.585836867,38030993.3571893,0.0187342880882753,0.330465463894772
"P_IBAA3",4232419.80453659,608410.210839124,38030993.3571893,0.0159977470250356,0.143749967852194
"L_CLOUDFR",1566889.50198639,493043.706667367,38030993.3571893,0.0129642605449895,0.314663992605938
"L_AZE",2101793.66828038,457595.915420555,38030993.3571893,0.0120321841484073,0.217716858855582
"L_MANGROVE",3369951.54041627,382133.547993915,38030993.3571893,0.0100479507438813,0.113394374788758
"P_IBAA2",4262292.71779669,324281.877258157,38030993.3571893,0.00852677904603971,0.0760815595569393
"P_IBAB1B",389351.308455729,221506.942296432,38030993.3571893,0.00582437961101952,0.568912797994664
"L_TIGERCL",262671.403564038,116354.375133169,38030993.3571893,0.00305946189836173,0.442965521006181
"P_COLDREEF",801299.971371197,111560.562129217,38030993.3571893,0.00293341173293671,0.139224467883498
"L_WARMREEF",447096.796562049,27458.5866320027,38030993.3571893,0.0007220055067747,0.0614153061331362
"L_IRREPL",2518337.50852517,11168.2207302234,38030993.3571893,0.000293661031289159,0.00443475931737358
"L_SEAGRSS",413682.53256717,9425.53679202742,38030993.3571893,0.000247838301342861,0.0227844688861669
"P_SEAMOUNT",23873.1371524953,8246.03787837931,38030993.3571893,0.000216824151841947,0.345410736163655
"L_SALTM",158174.900068984,6616.48926706321,38030993.3571893,0.000173976241033747,0.0418302098763937
"P_KBAD1B",232331.786219814,2609.246690104,38030993.3571893,6.8608428541369e-05,0.0112306918160365
"P_KBAD3",1321.59673380918,758.899434641245,38030993.3571893,1.99547623569444e-05,0.574229199593967
"P_TRTLALL",2687.42210130024,613.380433175942,38030993.3571893,1.61284357580418e-05,0.22824119548588
"L_TRTLCREN",1847.67766009114,315.781428324206,38030993.3571893,8.30326532253228e-06,0.170907207000938
"P_HYDRO",527.546188101718,279.900308340224,38030993.3571893,7.35979483132043e-06,0.530570241342081
"P_KBAB4",321.783164073389,275.473662117143,38030993.3571893,7.24339907532465e-06,0.856084757915787
"L_HYDRO",484.491324937233,239.64937434996,38030993.3571893,6.30142294993872e-06,0.494641208242494
"P_KBAE",72.7749995957117,72.7749995957117,38030993.3571893,1.91357083187927e-06,1
"L_COLDSEEP",219.755014114321,63.7602517815508,38030993.3571893,1.67653395699425e-06,0.290142420815852
"P_COLDSEEP",123.641283517631,55.5449051683002,38030993.3571893,1.46051681181765e-06,0.449242385617741
"P_DRYFOR",840761.706525371,27.9976815571368,38030993.3571893,7.36180653873039e-07,3.33003767177305e-05
"L_KBAD2",5.1245222911182,5.1245222911182,38030993.3571893,1.34745948994505e-07,1
