"ipbes_sub","removed","downgraded","nochange","upgraded","added"
"ABNJ",0.0152526353481825,0.00574096426142525,0.431878988637134,0.000555882131798577,0.194272606770688
"Central Africa",0.000292298867734762,0.000165427998995178,0.000930398236132635,6.90366988154396e-05,0.000954136366922731
"East Africa and adjacent islands",0.0064359630877267,0.00696022988364897,0.00764138775795409,0.000622526469763977,0.0153601830382889
"North Africa",0.00643742233706639,0.00039212562724783,0.00237039374484378,0.00270849424808098,0.00188775792410624
"Southern Africa",0.000544636753551869,0.00528450552345708,0.0058275911870295,0.000154819923581159,0.0239528830654738
"West Africa",0.002558064092476,0.000845520883753132,0.0030400183348281,0.000291355374951298,0.0004608160886217
"Caribbean",0.00957245116846585,0.000876155698381869,0.00494094300840231,0.000571090711488117,0.000389781385045121
"Mesoamerica",0.0478586638439546,0.000707664217923817,0.00683633195086482,0.00658616942016008,0.00341282919646211
"North America",0.0329775758276469,0.00307879887018804,0.0387138875215127,0.000619279694324637,0.00478170636999394
"South America",0.0775368769145632,0.00419696960413693,0.0183222837960523,0.00761676429777374,0.0112847428860864
"North-East Asia",0.0036012028704557,0.00109672636370877,0.00886626185443565,0.00138705664426961,0.0111747189720185
"Oceania",0.153904109358391,0.155866873349549,0.0539854441740732,0.0041348539634584,0.0929311074569688
"South-East Asia",0.0123417696653492,0.0443806559526508,0.0137867289749157,0.000280077102372538,0.0247416355845682
"South Asia",0.000910347088067943,0.0108416608971099,0.00619150350556431,0.000176351171231519,0.00937722937418964
"Western Asia",0.000738267915933768,0.000474839626745419,0.00187525114124589,0.000245900518800539,0.00258649519090628
"Central and Western Europe",0.0268199926139533,0.0114635476340733,0.0370456507306612,0.00486076459852767,0.0109454497606308
"Central Asia",2.13274903493106e-06,0,0.000290250361453001,0,0.00100745589169598
"Eastern Europe",0.0121436485049991,0.000471776145282545,0.0322652439244985,0.000115345969555499,0.0173257770292623
"Excluded",0.121172024169659,0.00348930538621311,0.00341691599050154,0.132654016773867,0.0420510418905614
"Central Africa",0.00763647629449448,0.011785213187675,0.00394338133300815,0.0635029972863793,0.0398018152332475
"East Africa and adjacent islands",0.0289841716346623,0.0464178711254618,0.00543220521891111,0.0390414493605561,0.0113005758271419
"North Africa",0.0250094009332461,0.141186670179459,0.0123632856765806,0.0219092406646662,0.00308066959389961
"Southern Africa",0.0240566233643779,0.0107712008234638,0.00734869123974822,0.0191701583742883,0.0132685740209528
"West Africa",0.0143234302686478,0.00697554729096334,0.00590689065218979,0.0129561719492273,0.0124683699041319
"Caribbean",0.00186379815663133,0.00686832543976276,0.00014785736585148,0.00727721993998592,0.00164766979994929
"Mesoamerica",0.0347467472770969,0.0153694864992372,0.00254640121588146,0.0291637331765767,0.00742144200005381
"North America",0.0235158031090991,0.025898672287134,0.036594544797866,0.00265039405600859,0.143839896920436
"South America",0.103179928811082,0.0431215650714098,0.0164723365144738,0.332829684413427,0.08282352238524
"North-East Asia",0.0578226428352541,0.0708185009772506,0.0180429879118034,0.00476917135455471,0.020658745566994
"Oceania",0.0236308593070362,0.0322462058782082,0.0115956533771548,0.0686889520775945,0.00892337282009782
"South-East Asia",0.0366795791524904,0.173368542946947,0.00300310956124938,0.152891680736027,0.0238854704832775
"South Asia",0.0146578228673352,0.0455999215748746,0.00930901505685522,0.0298781946561494,0.00900007005404189
"Western Asia",0.00622830068169394,0.0189047441073934,0.00489407997953417,0.00981295155811045,0.00395804545838254
"Central and Western Europe",0.0282649862100937,0.0903022430811271,0.0219760008625539,0.0159602936452061,0.0284122997182385
"Central Asia",0.00310180284643421,0.00175231139676374,0.0072932216230126,0.00963267007976815,0.00565011392520769
"Eastern Europe",0.0350492608902094,0.00219957969034329,0.0430053835160539,0.0162014094423065,0.106745087545329
"Excluded",0.000148282182902312,7.96505180347154e-05,0.111899479265169,1.38415163466599e-05,0.00821590450088757
