"ipbes_sub","removed","downgraded","nochange","upgraded","added"
"ABNJ",0.000356084113125727,4.91092667847317e-06,0.967443671965811,8.52467688637846e-06,0.0321868083174987
"Central Africa",0.00303249450622395,6.28858307742294e-05,0.926184844747694,0.000470479178384975,0.070249295736923
"East Africa and adjacent islands",0.00757781314219805,0.000300278907825345,0.863293533602095,0.000481477139616079,0.128346897208265
"North Africa",0.0258455378827381,5.76859029623965e-05,0.913166491881385,0.0071431372027655,0.0537871471301489
"Southern Africa",0.000746079086843483,0.000265248644848518,0.76598964961346,0.000139313201294352,0.232859709453554
"West Africa",0.00859137816050484,0.000104051093610924,0.979678369021727,0.00064277940074864,0.0109834223234081
"Caribbean",0.0196623656538743,6.59424069162979e-05,0.973819250479235,0.000770557775924012,0.0056818836840501
"Mesoamerica",0.0653455671140868,3.540411110699e-05,0.895642321001565,0.00590712229560869,0.0330695854776321
"North America",0.00871933015011267,2.98274831795254e-05,0.982170940979632,0.000107557013972736,0.00897234437310317
"South America",0.0403660003729498,8.0059732741912e-05,0.915256714454925,0.00260474632664616,0.0416924791127371
"North-East Asia",0.00385321973609492,4.29977141550397e-05,0.910275060461032,0.000974895099990103,0.0848538269887284
"Oceania",0.025642682010088,0.00095156388521146,0.86306958473856,0.000452544101308235,0.109883625264832
"South-East Asia",0.00815927222340298,0.00107507459549827,0.874563053826307,0.000121629548010055,0.116080969806782
"South Asia",0.00137502023958583,0.000600024245116432,0.897333969696995,0.000174971749352969,0.100516014068949
"Western Asia",0.00370602024026867,8.73396894087948e-05,0.90325241733721,0.000810850406833908,0.0921433723262785
"Central and Western Europe",0.00732240596587411,0.000114679313794781,0.970483775696579,0.000871740534712068,0.0212073984890403
"Central Asia",6.0932198497861e-05,0,0.795675096689778,0,0.204263971111724
"Eastern Europe",0.0037583389186966,5.34999809102341e-06,0.95815905454,2.34496669574078e-05,0.0380538068762553
"Excluded",0.14516410780037,0.00015316754929635,0.392777941613714,0.104391417184431,0.357513365852189
"Central Africa",0.010746182933897,0.000607672469119987,0.532458666188153,0.0587006550447003,0.39748682336413
"East Africa and adjacent islands",0.0440648972172889,0.00258575863397129,0.792435529675215,0.0389892878395451,0.121924526633979
"North Africa",0.0199640111783624,0.0041296106533507,0.946965860260434,0.0114883945817128,0.0174521233261399
"Southern Africa",0.0287644402354004,0.000471906845910738,0.843115669656081,0.0150568616879421,0.112591121574666
"West Africa",0.0211149524933012,0.000376783828179955,0.835522027623202,0.0125460575620448,0.130440178493272
"Caribbean",0.0568645716320995,0.00767829255596044,0.432854324776021,0.145846461546892,0.356756349489027
"Mesoamerica",0.0988616544287784,0.00160230051646007,0.695178694672806,0.0545060031177312,0.149851347264224
"North America",0.00515885871797011,0.000208181539424422,0.770310948457757,0.000381937032939767,0.223940074251908
"South America",0.0414090029549028,0.000634110524166949,0.634323290862434,0.0877423183136624,0.235891277344834
"North-East Asia",0.0297835597553179,0.00133658410569821,0.891749812177468,0.00161364908101965,0.0755163948804961
"Oceania",0.0189670404875859,0.000948352024379296,0.893040559302454,0.0362154970054744,0.0508285511801063
"South-East Asia",0.0610178840789608,0.0105675423032208,0.479357888104905,0.167072186516972,0.281984498995942
"South Asia",0.0147604270624182,0.00168253631299946,0.899474983109641,0.0197638390448574,0.0643182144700836
"Western Asia",0.0121871451382986,0.0013554206943813,0.91888122332703,0.0126130340908841,0.0549631767494064
"Central and Western Europe",0.0120156752921748,0.0014065942581827,0.896404382989128,0.00445684761407218,0.0857164998464423
"Central Asia",0.00413908636330343,8.56786233781913e-05,0.933825246464596,0.00844353846123889,0.0535064500874836
"Eastern Europe",0.00710969463034679,1.63486795367358e-05,0.837048862969831,0.00215879987030351,0.153666293849982
"Excluded",1.3735565737435e-05,2.70344215876844e-07,0.994584183925485,8.42226211000936e-07,0.00540096793835095
