objectid,type,pol_type,iso_ter,iso_sov,romnam,maplabel,Shape__Area,Shape__Length,total_country_area_km2,2025_Unclassified,2025_Potential,2025_Likely,2018_Unclassified,2018_Potential,2018_Likely,ch_Removal,ch_Downgrade,ch_NoChange,ch_Upgrade,ch_Addition
1,ABNJ,Areas Beyond National Jurisdiction (ABNJ),ABNJ,ABNJ,Not Applicable,Not Applicable,6.85101E+14,670475878.4,222220995.4,214000052.6,3170878.314,5048920.748,219782507.1,51711.91695,2386776.313,79198.3079,1167.566478,216276100,1809.008813,5861576.786
2,Land,State,AFG,AFG,Afghanistan,Afghanistan,9.37274E+11,6889577.009,643646.8019,566388.6882,75.08968983,77183.02394,578389.7122,55345.01088,9912.078755,481.6893718,2.051198183,575567.5823,55112.76562,12482.71336
3,EEZ,200NM,AGO,AGO,Not Applicable,Not Applicable,5.21993E+11,5611171.883,495444.5553,493891.906,499.4387733,1053.210521,494115.2064,392.2565642,937.0922673,395.7992595,16.15381164,494403.4459,10.05655263,619.0997225
4,Land,State,AGO,AGO,Angola,Angola,1.31874E+12,7981574.234,1246766.593,1037622.148,50121.63125,159022.8131,1106680.41,64576.07606,75510.10716,31440.90806,1709.953888,1095052.331,18064.23013,100499.1692
5,Land,Non-Self Governing Territory,AIA,AIA,Anguilla,Anguilla (UK),92810940.01,113101.9334,80.48718694,35.77160381,7.317111035,37.3984721,7.317566487,9.757590285,63.41203017,29.26722672,6.503997469,41.4633189,2.439454454,0.813189398
6,EEZ,200NM,ALB,ALB,Not Applicable,Not Applicable,21334745722,1329778.239,12116.1447,11554.28462,160.056116,401.8039702,11702.07912,27.80439729,386.2611831,77.28125091,6.542409767,11807.24529,NA,225.0757567
7,Land,State,ALB,ALB,Albania,Albania,50715018450,1707665.5,28762.00665,16848.45235,7077.793493,4835.760813,24878.40508,56.24753012,3827.354041,177.3279105,46.27092803,20325.33125,5.795918728,8207.280645
8,Land,State,AND,AND,Andorra,Andorra,833092768.3,152415.5932,444.1879339,152.7856449,205.2140853,86.1882037,173.0501432,177.3444092,93.79338154,9.507492848,6.969543898,396.0390921,1.899813995,29.77199113
9,EEZ,200NM,ARE,ARE,Not Applicable,Not Applicable,63121163126,4586507.747,51635.76721,26195.69801,NA,25440.0692,46189.21102,NA,5446.556194,70.44624879,NA,31501.36171,NA,20063.95925
10,Land,State,ARE,ARE,United Arab Emirates,United Arab Emirates,85835276319,4825907.261,71346.79644,60631.11579,430.0832277,10285.59742,69212.4212,30.19004572,2104.185192,732.0942928,71.14058036,61230.16186,NA,9313.399706
11,EEZ,Overlapping claim,ARE; IRN,ARE; IRN,Not Applicable,Not Applicable,7675184161,397718.8055,6148.457191,6117.673414,NA,30.78377665,6108.43974,NA,40.01745052,11.54438359,NA,6134.602098,NA,2.310709726
12,EEZ,200NM,ARG,ARG,Not Applicable,Not Applicable,2.3488E+12,22876618.59,1051888.871,895185.1247,51.50185933,156652.2448,1042919.308,300.0421044,8669.520891,334.7667831,NA,903256.0418,229.112315,148068.9504
