objectid,type,pol_type,iso_ter,iso_sov,romnam,maplabel,Shape__Area,Shape__Length,total_country_area_km2,2025_Unclassified,2025_Potential,2025_Likely,2018_Unclassified,2018_Potential,2018_Likely,ch_Removal,ch_Downgrade,ch_NoChange,ch_Upgrade,ch_Addition
1,ABNJ,Areas Beyond National Jurisdiction (ABNJ),ABNJ,ABNJ,Not Applicable,Not Applicable,6.85101E+14,670475878.4,222220995.4,0.963005553,0.014269031,0.022720269,0.989026742,0.000232705,0.010740553,0.000356394,5.25407815639905e-06,0.973247823,8.14058460032127e-06,0.026377241
2,Land,State,AFG,AFG,Afghanistan,Afghanistan,9.37274E+11,6889577.009,643646.8019,0.879968154,0.000116663,0.119915183,0.898613511,0.085986617,0.015399873,0.000748375,3.18683814970228e-06,0.894228917,0.08562579,0.019393732
3,EEZ,200NM,AGO,AGO,Not Applicable,Not Applicable,5.21993E+11,5611171.883,495444.5553,0.996866149,0.001008062,0.002125789,0.997316857,0.000791726,0.001891417,0.000798877,3.26046809316584e-05,0.997898636,2.02980384435356e-05,0.001249584
4,Land,State,AGO,AGO,Angola,Angola,1.31874E+12,7981574.234,1246766.593,0.832250523,0.040201295,0.127548183,0.88764041,0.05179484,0.06056475,0.025217958,0.001371511,0.878313822,0.014488863,0.080607846
5,Land,Non-Self Governing Territory,AIA,AIA,Anguilla,Anguilla (UK),92810940.01,113101.9334,80.48718694,0.44443849,0.090910259,0.464651251,0.090915918,0.121231598,0.787852484,0.363625912,0.080807862,0.515154281,0.030308606,0.01010334
6,EEZ,200NM,ALB,ALB,Not Applicable,Not Applicable,21334745722,1329778.239,12116.1447,0.953627156,0.013210152,0.033162692,0.965825302,0.002294822,0.031879875,0.00637837,0.000539975,0.97450514,NA,0.018576516
7,Land,State,ALB,ALB,Albania,Albania,50715018450,1707665.5,28762.00665,0.585788487,0.246081352,0.168130161,0.864974596,0.001955619,0.133069785,0.006165353,0.001608752,0.706672921,0.000201513,0.285351462
8,Land,State,AND,AND,Andorra,Andorra,833092768.3,152415.5932,444.1879339,0.343966221,0.461998334,0.194035446,0.389587672,0.39925535,0.211156977,0.021404212,0.01569053,0.891602544,0.00427705,0.067025664
9,EEZ,200NM,ARE,ARE,Not Applicable,Not Applicable,63121163126,4586507.747,51635.76721,0.507316913,NA,0.492683087,0.8945197,NA,0.1054803,0.001364292,NA,0.610068629,NA,0.388567079
10,Land,State,ARE,ARE,United Arab Emirates,United Arab Emirates,85835276319,4825907.261,71346.79644,0.849808524,0.006028066,0.144163409,0.970084498,0.000423145,0.029492357,0.010261067,0.00099711,0.858204782,NA,0.130537041
11,EEZ,Overlapping claim,ARE; IRN,ARE; IRN,Not Applicable,Not Applicable,7675184161,397718.8055,6148.457191,0.994993252,NA,0.005006748,0.993491465,NA,0.006508535,0.001877607,NA,0.997746574,NA,0.000375819
12,EEZ,200NM,ARG,ARG,Not Applicable,Not Applicable,2.3488E+12,22876618.59,1051888.871,0.851026329,4.89613121088423e-05,0.14892471,0.991472899,0.000285241,0.00824186,0.000318253,NA,0.858699114,0.00021781,0.140764823
13,Land,State,ARG,ARG,Argentina,Argentina,4.31215E+12,26531910.29,2779490.428,0.760291778,0.067438069,0.172270154,0.867623974,0.025721561,0.106654465,0.010478451,0.000127004,0.860784857,0.010799039,0.117810648
14,Land,State,ARM,ARM,Armenia,Armenia,51100164912,1731135.507,29653.04258,0.245202842,0.000548949,0.754248209,0.740377676,0.024387453,0.235234871,0.005063336,NA,0.471343581,0.023354913,0.50023817
15,Land,Antarctica,ATA,ATA,Antarctica,Antarctica,6.98372E+14,259124545.2,12482086.62,0.999070755,NA,0.000929245,0.999909601,1.19277563847976e-06,8.92061493064191e-05,2.36601541851543e-05,NA,0.999113592,2.41604523349609e-07,0.000862507
16,EEZ,200NM,ATG,ATG,Not Applicable,Not Applicable,1.25101E+11,1859366.56,111476.398,0.972557386,0.018550487,0.008892127,0.965073767,0.029044522,0.00588171,0.010985012,NA,0.985396156,0.000117439,0.003501393
17,Land,State,ATG,ATG,Antigua and Barbuda,Antigua and Barbuda,480424870.4,329784.5777,433.1172438,0.598230804,0.049004474,0.352764722,0.317203571,0.26789659,0.414899839,0.30745646,0.00942269,0.603806104,0.052885519,0.026429227
18,EEZ,200NM,AUS,AUS,Not Applicable,Not Applicable,1.0565E+13,104582768.7,7344122.442,0.591523421,0.136361079,0.272115499,0.801962796,0.001633688,0.196403516,0.05554384,0.004783103,0.673303745,0.000386098,0.265983214
19,Land,State,AUS,AUS,Australia,Australia,9.64989E+12,80565030.3,7685831.471,0.847668067,0.011837713,0.140494221,0.863110703,0.014554911,0.122334386,0.019690885,0.000744424,0.934038905,0.010392264,0.035133521
20,EEZ,200NM,CCK,AUS,Not Applicable,Not Applicable,4.9217E+11,2586507.629,466810.312,0.001919481,5.37689263296916e-06,0.998075142,0.999245977,0.000100112,0.000653912,1.97164484904313e-05,NA,0.002537546,9.65251051203029e-05,0.997346213
21,Land,Territory,CCK,AUS,Cocos (Keeling) Islands,Cocos (Keeling) Is. (Aust.),17977784.9,98049.18289,7.524704985,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
22,EEZ,200NM,CXR,AUS,Not Applicable,Not Applicable,3.43265E+11,2226637.881,327728.5317,0.164979135,1.79750472838878e-05,0.83500289,0.999082662,0.000252798,0.00066454,6.92796636162601e-05,NA,0.16553079,0.000227125,0.834172806
23,Land,Territory,CXR,AUS,Christmas Island,Christmas Is. (Aust.),145054334.6,72942.15847,140.4301678,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
24,EEZ,200NM,HMD,AUS,Not Applicable,Not Applicable,1.17962E+12,4241672.035,416771.5409,0.483723329,0.345237838,0.171038832,0.842905337,6.2658780721936e-05,0.157032004,1.20322571181488e-05,0.001285016,0.639473132,3.57794021655393e-05,0.35919404
25,Land,Territory,HMD,AUS,Heard Island and McDonald Islands,Heard Isl. & McDonald Is. (Aust.),1007511050,241081.2186,374.330995,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
26,EEZ,200NM,NFK,AUS,Not Applicable,Not Applicable,5.66735E+11,2734919.988,430260.3222,0.872600721,0.000837439,0.12656184,0.560838426,0.341191774,0.0979698,0.313766635,NA,0.656749668,0.027479357,0.00200434
27,Land,Territory,NFK,AUS,Norfolk Island,Norfolk Is. (Aust.),53060832.31,47239.04681,40.48601549,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
28,Land,State,AUT,AUT,Austria,Austria,1.84283E+11,3677632.42,83828.38866,0.417758378,0.170444711,0.41179691,0.935286786,0.014627584,0.05008563,0.001353957,0.001727441,0.463785242,0.014250995,0.518882365
29,EEZ,200NM,AZE,AZE,Not Applicable,Not Applicable,1.3873E+11,2891064.113,80503.88583,0.840302954,NA,0.159697046,0.989261342,NA,0.010738658,NA,NA,0.851041612,NA,0.148958388
