Short,Type,Feature,C1,C2,C3,C4,C5
L_RAMSALL,Likely,All Ramsar sites,0,0,0,1,0
L_AZE,Likely,Alliance for Zero Extinction Sites,1,1,1,0,0
L_COLDSEEP,Likely,Cold seeps,0,0,0,0,1
L_COLDREEF,Likely,Cold water coral reefs - observed occurrence,0,0,0,1,1
L_CRCRD,Likely,CR species under criterion D,1,0,0,0,0
L_ENCRD,Likely,EN species under criterion D,1,0,0,0,0
L_HYDRO,Likely,Hydrothermal Vents,0,1,0,0,1
L_IMMAB2,Likely,IMMAs under criterion B2,0,0,1,0,0
L_IFL,Likely,Intact Forest Landscapes,0,0,0,1,0
L_IRREPL,Likely,Irreplaceable protected areas,0,0,0,1,0
L_IUCNMGMT,Likely,"IUCN management categories Ia, Ib and II",0,0,0,1,0
L_KBAA1AE,Likely,KBAs under criteria A1a and A1e,1,0,0,0,0
L_KBAB1,Likely,KBAs under criterion B1,0,1,0,0,0
L_KBAD1A,Likely,KBAs under criterion D1a,0,0,1,0,0
L_KBAD2,Likely,KBAs under criterion D2,0,0,1,0,0
L_MANGROVE,Likely,Mangroves,0,0,0,1,0
L_WHS,Likely,Natural and mixed World Heritage sites,0,0,0,1,0
L_RAMS13,Likely,Ramsar sites under criteria 1 and 3,0,0,0,1,0
L_RAMS56,Likely,Ramsar sites under criteria 5 and 6,0,0,1,0,0
L_RAMS2,Likely,Ramsar sites under criterion 2,1,0,0,0,0
L_SALTM,Likely,Saltmarshes,0,0,0,1,0
L_TRTLCREN,Likely,Sea turtle nesting sites - CR and EN species,1,0,0,0,0
L_SEAGRSS,Likely,Seagrass beds,0,0,0,1,0
L_TIGERCL,Likely,Tiger Conservation Landscapes,1,0,0,0,0
L_MOISTFOR,Likely,Tropical moist forest,0,0,0,1,0
L_WARMREEF,Likely,Warm water coral reefs,0,0,0,1,1
P_COLDSEEP,Potential,Cold seeps,0,1,0,0,0
P_COLDREEF,Potential,Cold water coral reefs - modelled occurrence,0,0,0,1,1
P_EVERWET,Potential,Ever-wet tropical forests,0,0,0,1,0
L_GRTAPES,Likely,Great Apes habitat,1,0,0,0,0
P_HYDRO,Potential,Hydrothermal Vents,0,0,0,1,0
P_IMMAC123,Potential,"IMMAs under criteria C1, C2 and C3",0,0,1,0,0
P_IMMAB1,Potential,IMMAs under criterion A,1,0,0,0,0
P_IMMAA,Potential,IMMAs under criterion B1,0,1,0,0,0
P_IMMAD1,Potential,IMMAs under criterion D1,0,1,0,1,0
P_IMMAD2,Potential,IMMAs under criterion D2,0,0,0,1,0
P_KBAA1B,Potential,KBAs under criterion A1b,1,0,0,0,0
P_KBAB4,Potential,KBAs under criterion B4,0,0,0,1,0
P_KBAD1B,Potential,KBAs under criterion D1b,0,0,1,0,0
P_KBAD3,Potential,KBAs under criterion D3,0,0,1,0,0
P_KBAE,Potential,KBAs under criterion E,1,0,0,0,0
P_RAMS4789,Potential,"Ramsar sites under criteria 4, 7, 8 and 9",0,0,1,0,0
P_TRTLALL,Potential,Sea turtle nesting sites - All species,0,0,1,1,0
P_SEAMOUNT,Potential,Seamounts,0,0,0,1,0
P_DRYFOR,Potential,Tropical dry forest,0,0,0,1,0
L_CLOUDFR,Likely,Tropical montane cloud forests,0,0,0,1,0
P_VUCRD,Potential,VU species under criterion D2,1,0,0,0,0
L_IBAA1,Likely,IBAs under criterion A1,1,0,0,0,0
P_IBAB1B,Potential,IBAs under criterion B1b,1,0,0,0,0
P_IBAA2,Potential,IBAs under criterion A2,0,1,0,0,0
L_IBAA4,Likely,IBAs under criterion A4,0,0,1,0,0
P_IBAA3,Potential,IBAs under criterion A3,0,0,0,1,0
